peer_row_id,year,standard_name,crop,variety,previous_crop_name,previous_crop_productivity_estimate_crop_name,previous_crop_standard_name,area,target_yield_t_ha,target_source,asof_tag,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_last_value_asof,ndvi_last_doy_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_slope_asof,ndvi_integral_asof,ndvi_last30d_mean_asof,ndvi_above_05_n_asof,sowing_known_asof,sowing_doy,days_after_sowing_asof
8668,2017,sunflower,sunflower,Ададжио,Winter Wheat,wheat_winter,wheat_winter,106.99,1.9899999999999998,productivity_estimate_peers_productivity_c_ha,07_01,47,0.3292127659574468,0.633,0.168,0.15205079444826813,0.20450000000000002,0.3805,0.629,182.0,173.0,0.46499999999999997,0.0037257221885957943,38.068999999999996,0.5274285714285715,8,1,122.0,60.0
8669,2022,sunflower,sunflower,missing,Winter Rapeseed,oil_seed_raps_winter,oil_seed_raps_winter,143.63,1.9537700999999998,productivity_estimate_peers_productivity_c_ha,07_01,55,0.30176363636363635,0.613,0.164,0.13968939097301994,0.182,0.3865,0.613,182.0,182.0,0.44899999999999995,0.0030080147394312214,37.892999999999994,0.46204999999999996,7,1,128.0,54.0
8670,2023,sunflower,sunflower,Санмарин 421,Winter Wheat,wheat_winter,wheat_winter,59.0,2.1416949,productivity_estimate_peers_productivity_c_ha,07_01,47,0.2472765957446808,0.597,0.143,0.11871451579630635,0.173,0.268,0.593,181.0,177.0,0.45399999999999996,0.004120792623795175,25.535999999999994,0.4390909090909091,3,1,114.0,68.0
8671,2017,sunflower,sunflower,missing,Corn,maize,maize,15.81,2.161,productivity_estimate_peers_productivity_c_ha,07_01,41,0.2548292682926829,0.603,0.166,0.10984798863330032,0.181,0.283,0.603,182.0,182.0,0.43699999999999994,0.0023723403471682548,44.144499999999994,0.443125,3,1,101.0,81.0
8672,2017,sunflower,sunflower,missing,missing,missing,missing,29.6601,2.1690141,productivity_estimate_peers_productivity_c_ha,07_01,43,0.3082790697674418,0.572,0.129,0.13810264561085012,0.1965,0.3685,0.572,182.0,180.0,0.44299999999999995,0.003596572661731033,35.13600000000001,0.4914615384615385,8,0,,
8673,2018,sunflower,sunflower,missing,missing,missing,missing,28.77,1.02,productivity_estimate_peers_productivity_c_ha,07_01,52,0.28415384615384615,0.42,0.18,0.0929645061745827,0.20075,0.38625,0.42,181.0,181.0,0.24,0.001988295915610586,42.23900000000001,0.39717647058823535,0,0,,
8674,2018,sunflower,sunflower,Mas 93CP STANDARD D150 (F-I),Winter Barley,barley_winter,barley_winter,28.77,1.01986754966887,productivity_estimate_peers_productivity_c_ha,07_01,52,0.28415384615384615,0.42,0.18,0.0929645061745827,0.20075,0.38625,0.42,181.0,181.0,0.24,0.001988295915610586,42.23900000000001,0.39717647058823535,0,1,103.0,79.0
8675,2022,sunflower,sunflower,Озимий ріпак-Домінатор ,Winter Barley,barley_winter,barley_winter,40.9,1.0366748,productivity_estimate_peers_productivity_c_ha,07_01,61,0.29972131147540987,0.411,0.254,0.04471994132798469,0.264,0.329,0.378,182.0,172.0,0.15699999999999997,0.0003693173138664907,53.731,0.3584615384615384,0,1,117.0,65.0
8676,2021,sunflower,sunflower,missing,Chickpea,chickpea,chickpea,87.36,1.0,productivity_estimate_peers_productivity_c_ha,07_01,40,0.287025,0.396,0.157,0.07329750592619097,0.2605,0.3385,0.395,182.0,177.0,0.23900000000000002,0.002919296940891019,21.612499999999994,0.3566875,0,0,,
8677,2025,sunflower,sunflower,Насіння соняшника P64LE185,Winter Wheat,wheat_winter,wheat_winter,21.71709,1.0552486,productivity_estimate_peers_productivity_c_ha,07_01,71,0.3286197183098591,0.444,0.204,0.07620364972169355,0.237,0.3875,0.423,182.0,103.0,0.24000000000000002,0.0010454663758210534,58.00700000000001,0.396,0,1,121.0,61.0
