feature,importance,scenario,asof_tag
scout_last_report_doy,0.0,wheat_combined,08_01
scout_days_since_last_report,0.06426829679573927,wheat_combined,08_01
scout_growth_stage_max,0.0,wheat_combined,08_01
scout_growth_stage_last,0.2343361618358908,wheat_combined,08_01
scout_risk_yield_decreasing_n,0.23640107603826763,wheat_combined,08_01
scout_risk_yield_decreasing_any,0.0,wheat_combined,08_01
scout_condition_score_min,0.2270812105037293,wheat_combined,08_01
scout_condition_score_last,0.26278203372495457,wheat_combined,08_01
scout_condition_bad_n,0.20965369246296958,wheat_combined,08_01
scout_condition_not_good_n,0.10094945621685185,wheat_combined,08_01
scout_threat_reports_n,0.17325522118800063,wheat_combined,08_01
scout_threat_total_n,0.0,wheat_combined,08_01
scout_threat_disease_any,0.0,wheat_combined,08_01
scout_threat_insect_any,0.0,wheat_combined,08_01
scout_threat_weed_any,0.18960664456133092,wheat_combined,08_01
field_id,0.006565691871755019,wheat_combined,08_01
crop_id,2.9634579496264313,all_crops,08_01
prev_crop_id,0.27766473784760765,all_crops,08_01
field_tillable_area,0.8238108527507141,all_crops,08_01
field_soil_pH,0.05268012824998655,all_crops,08_01
field_soil_OM,0.16218117800941376,all_crops,08_01
field_soil_P,0.3190858287307397,all_crops,08_01
field_soil_K,0.16503027657507194,all_crops,08_01
field_soil_N,0.375904915317299,all_crops,08_01
field_soil_Mg,0.2036282931948438,all_crops,08_01
ndvi_n_obs_asof,0.5423877600400397,all_crops,08_01
ndvi_mean_asof,2.3851881339234606,all_crops,08_01
ndvi_max_asof,1.8930064148175116,all_crops,08_01
ndvi_min_asof,0.9085308200034143,all_crops,08_01
ndvi_std_asof,5.270767687768947,all_crops,08_01
ndvi_p25_asof,0.9339911979976087,all_crops,08_01
ndvi_p75_asof,3.700690764668073,all_crops,08_01
ndvi_slope_asof,1.329530955262368,all_crops,08_01
ndvi_last_value_asof,2.1019751253409056,all_crops,08_01
ndvi_integral_asof,3.9133658702773886,all_crops,08_01
ndvi_peak_doy_asof,1.6068771153789214,all_crops,08_01
ndvi_amplitude_asof,3.0420984237973676,all_crops,08_01
ndvi_above_05_days_asof,3.4848287554295303,all_crops,08_01
years_since_sunflower,0.024901564685326956,all_crops,08_01
years_since_wheat,0.6436433834399257,all_crops,08_01
rotation_pair,0.0,all_crops,08_01
wx_temp_mean_to_asof,0.87029601678115,all_crops,08_01
wx_temp_max_to_asof,0.033709679276163966,all_crops,08_01
wx_precip_sum_to_asof,1.3755176878841346,all_crops,08_01
wx_srad_sum_to_asof,0.3465717773388064,all_crops,08_01
wx_vpd_max_to_asof,0.6836734351821594,all_crops,08_01
wx_vpd_mean_to_asof,1.9797771685470287,all_crops,08_01
wx_vpd_days_high_to_asof,0.5455118302162837,all_crops,08_01
wx_et0_sum_to_asof,1.6627813709453816,all_crops,08_01
wx_water_balance_to_asof,3.7199713707862276,all_crops,08_01
wx_gdd_sunflower_to_asof,0.37420890171641125,all_crops,08_01
