scenario,asof_tag,asof_label,version,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
sunflower,09_01,1 Sep,v15_rates,v15_rates_shallow_l10,25,25,25.983790187649543,0.6795806481680609,0.5717431583520444,-0.35783224696004456,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v15_rates,v15_rates_shallow_l30,25,25,24.994236556544728,0.652822367774874,0.5680540769863005,-0.2530089249301848,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v15_rates,v15_rates_no_field_id,25,25,25.503061365110195,0.6657315435463873,0.5806984760460315,-0.3030539046201093,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
wheat_combined,07_01,1 Jul,v12,v12_default,57,57,31.273104473542006,1.2246298863019744,0.9510098150858085,-0.07951897724443246,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v12,v12_shallow_l10,57,57,29.416033544955315,1.158972301693959,0.8974087528459461,0.033133112099454465,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v12,v12_shallow_l30,57,57,27.443468157904565,1.1679795291035204,0.8873740084280105,0.0180462439631226,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v12,v12_no_field_id,57,57,28.175369532634363,1.1546137027199561,0.8865844895145496,0.04039171661035257,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v14,v14_shallow_l10,57,57,31.444794300475305,1.227957963918455,0.9522232093802736,-0.08539439284761308,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v14,v14_shallow_l30,57,57,29.38560491581399,1.2149379821279451,0.9267998906980258,-0.062499642131204736,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v14,v14_no_field_id,57,57,29.428831371766623,1.1728759211089759,0.8961446218142177,0.00979591338923036,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
