scenario,asof_tag,asof_label,variant,model,model_type,n,r2,rmse,mae,mape
wheat_combined,09_01,1 Sep,plus,global_mean,naive,7144,-0.03366617249925041,0.9750840467789831,0.7969742292538612,31.490155979403095
wheat_combined,09_01,1 Sep,plus,crop_mean,naive,7144,0.047129243447252,0.9362005641129914,0.7665726292272597,29.338181904077924
wheat_combined,09_01,1 Sep,plus,crop_year_trend,naive,7144,0.02829029660982063,0.9454099503522506,0.7740621911661972,29.632933220821716
wheat_combined,09_01,1 Sep,plus,catboost_fast_l10,ml,7144,0.7069700103206468,0.5191680215639993,0.414369900419722,15.315770974754905
wheat_combined,09_01,1 Sep,plus,catboost_fast_l10_residual,ml,7144,0.7033544760166341,0.5223610654057246,0.417164780341554,15.439028528380225
wheat_combined,09_01,1 Sep,plus,catboost_shallow_l30,ml,7144,0.7050422706556378,0.5208729326731301,0.4149704628078005,15.365679484693137
wheat_combined,09_01,1 Sep,plus,catboost_shallow_l30_residual,ml,7144,0.7063303159558152,0.5197343932935862,0.41467313211024254,15.283889353195576
wheat_combined,09_01,1 Sep,plus,catboost_mae_l20,ml,7144,0.6954981336767039,0.5292329536867879,0.4204574363817637,15.379027211113536
wheat_combined,09_01,1 Sep,plus,catboost_mae_l20_residual,ml,7144,0.6969998718791943,0.5279263086960916,0.42007236078878535,15.263246963074407
all_crops,07_01,1 Jul,plus,global_mean,naive,26029,-0.002661312961190987,1.3077684251787944,0.6947053469206713,30.687518166430554
all_crops,07_01,1 Jul,plus,crop_mean,naive,26029,0.5900710362228536,0.8361958748627834,0.5727335330074267,25.167193554968463
all_crops,07_01,1 Jul,plus,crop_year_trend,naive,26029,0.5798095997783888,0.846597109739842,0.5767305619262243,25.439915042104346
all_crops,07_01,1 Jul,plus,catboost_fast_l10,ml,26029,0.5316463041565629,0.893800707733305,0.43232796270599017,18.498096801474233
all_crops,07_01,1 Jul,plus,catboost_fast_l10_residual,ml,26029,0.7532446626147613,0.648764378303258,0.4023969450121932,17.386635847812638
all_crops,07_01,1 Jul,plus,catboost_shallow_l30,ml,26029,0.5200772395405544,0.9047724996846134,0.4389715239564514,18.81561633434323
all_crops,07_01,1 Jul,plus,catboost_shallow_l30_residual,ml,26029,0.7502898467002183,0.652637191415028,0.4056170079196414,17.55939429487093
all_crops,07_01,1 Jul,plus,catboost_mae_l20,ml,26029,0.36804589383480235,1.0382369677008065,0.42521748765796896,17.40479456865923
all_crops,07_01,1 Jul,plus,catboost_mae_l20_residual,ml,26029,0.7497836595177303,0.6532983366064603,0.40346537599870036,17.272400523759202
all_crops,08_01,1 Aug,plus,global_mean,naive,26029,-0.002661312961190987,1.3077684251787944,0.6947053469206713,30.687518166430554
all_crops,08_01,1 Aug,plus,crop_mean,naive,26029,0.5900710362228536,0.8361958748627834,0.5727335330074267,25.167193554968463
all_crops,08_01,1 Aug,plus,crop_year_trend,naive,26029,0.5798095997783888,0.846597109739842,0.5767305619262243,25.439915042104346
all_crops,08_01,1 Aug,plus,catboost_fast_l10,ml,26029,0.5799051495003765,0.8465008477624233,0.3881344055075979,16.243268741189326
all_crops,08_01,1 Aug,plus,catboost_fast_l10_residual,ml,26029,0.7795970888187868,0.6131438572568324,0.3617636329864196,15.42706386133124
all_crops,08_01,1 Aug,plus,catboost_shallow_l30,ml,26029,0.5613363942914668,0.8650067977526806,0.39885049743095546,16.797862432414334
all_crops,08_01,1 Aug,plus,catboost_shallow_l30_residual,ml,26029,0.7768970311012156,0.6168881007995254,0.3662367047884402,15.63919786853961
all_crops,08_01,1 Aug,plus,catboost_mae_l20,ml,26029,0.3874613918651929,1.0221636958204765,0.3827152206397992,15.245324766630123
all_crops,08_01,1 Aug,plus,catboost_mae_l20_residual,ml,26029,0.77480064531584,0.6197796169277545,0.36492419027634804,15.364279838092521
all_crops,09_01,1 Sep,plus,global_mean,naive,26029,-0.002661312961190987,1.3077684251787944,0.6947053469206713,30.687518166430554
all_crops,09_01,1 Sep,plus,crop_mean,naive,26029,0.5900710362228536,0.8361958748627834,0.5727335330074267,25.167193554968463
all_crops,09_01,1 Sep,plus,crop_year_trend,naive,26029,0.5798095997783888,0.846597109739842,0.5767305619262243,25.439915042104346
all_crops,09_01,1 Sep,plus,catboost_fast_l10,ml,26029,0.5752123213093864,0.8512157955207447,0.38502316003312226,16.07372515228234
all_crops,09_01,1 Sep,plus,catboost_fast_l10_residual,ml,26029,0.7821986776238428,0.6095144056960847,0.35753214913452747,15.307733510798089
all_crops,09_01,1 Sep,plus,catboost_shallow_l30,ml,26029,0.5649118448135384,0.8614743449320014,0.3982222415352155,16.77894794371532
all_crops,09_01,1 Sep,plus,catboost_shallow_l30_residual,ml,26029,0.7780409626416903,0.6153045614741292,0.3632179649590462,15.567498243759884
all_crops,09_01,1 Sep,plus,catboost_mae_l20,ml,26029,0.41620206472500265,0.9978953426910849,0.3772017532434734,15.125513028490994
all_crops,09_01,1 Sep,plus,catboost_mae_l20_residual,ml,26029,0.777562835481735,0.615966925944498,0.36039537428319995,15.23059876776099
