filter,scenario,asof_tag,asof_label,method,n,mape,mae,rmse,r2,cw_mape,cw_mae,cw_rmse,cw_r2,naive_mape,naive_mae,naive_rmse,naive_r2
all,sunflower,07_01,1 Jul,peer_raw,59,23.738796670304335,0.5103481132212638,0.6463457543861678,-0.06945946474024556,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,07_01,1 Jul,residual_crop,59,24.71862659823819,0.552644877400096,0.6663071834481453,-0.13653684181946368,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,07_01,1 Jul,residual_global,59,24.71862659823819,0.552644877400096,0.6663071834481453,-0.13653684181946368,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,07_01,1 Jul,ridge_all_no_field,59,23.738796670304335,0.5103481132212638,0.6463457543861678,-0.06945946474024556,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,07_01,1 Jul,ridge_core,59,23.738796670304335,0.5103481132212638,0.6463457543861678,-0.06945946474024556,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,cat_all_no_field,59,22.98278560626497,0.5807219270599483,0.6818520642287517,-0.19018602550358232,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,cat_all_with_field,59,22.855346824533026,0.5783283459796575,0.6788957428235854,-0.17988776630476822,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,cat_core_d2,59,22.647885854268875,0.5722083040678648,0.6702858080822273,-0.15015024397695398,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,cat_core_d3,59,22.83831809900142,0.5780505888211506,0.6776699755753458,-0.17563096500583963,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,peer_raw,59,24.45905027384235,0.6361031016032843,0.7425279028987802,-0.4114324049190954,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,residual_crop,59,22.60105516484028,0.569301237039666,0.6658039806338122,-0.13482083876363515,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,residual_global,59,22.60105516484028,0.569301237039666,0.6658039806338122,-0.13482083876363515,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,ridge_all_no_field,59,24.45905027384235,0.6361031016032843,0.7425279028987802,-0.4114324049190954,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,08_01,1 Aug,ridge_core,59,24.45905027384235,0.6361031016032843,0.7425279028987802,-0.4114324049190954,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,09_01,1 Sep,cat_all_no_field,59,23.83150962323587,0.6145196207797399,0.735095088771656,-0.3833165405211443,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,09_01,1 Sep,cat_all_with_field,59,23.760031483280127,0.6131918100541498,0.7329807168999073,-0.375370251053585,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,09_01,1 Sep,cat_core_d2,59,23.984948375653623,0.6195812390670047,0.7404886167684401,-0.40369030660871075,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
all,sunflower,09_01,1 Sep,cat_core_d3,59,23.902552268172062,0.6188614477416087,0.7386726579336172,-0.39681398698662607,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
