field_id,season,operation_type,agro_operation_id,mix_item_applicable_id,mix_item_applicable_name,mix_item_applicable_type,mix_item_fact_rate,mix_item_planned_rate,mix_item_rate_unit,mix_item_unit_id,actual_start_datetime,completed_date
215,2021,application,4268,26,,Seed,0.0,0.42310000000000003,,34,2021-05-04T00:55:00.000+05:00,2021-05-04
215,2022,application,8062,37,,Seed,0.0,220.0,,19,2022-05-10T13:24:00.000+05:00,2022-05-11
215,2022,application,8062,49,,Seed,0.0,0.0,,19,2022-05-10T13:24:00.000+05:00,2022-05-11
215,2022,application,8062,51,,Seed,217.21518987341773,0.0,,19,2022-05-10T13:24:00.000+05:00,2022-05-11
215,2022,application,8062,50,,Seed,0.0,0.0,,19,2022-05-10T13:24:00.000+05:00,2022-05-11
215,2023,application,11800,62,,Seed,208.91139240506328,195.0,,19,2023-05-05T15:54:00.000+05:00,2023-05-07
215,2023,application,11800,94,,Seed,0.0,0.0,,19,2023-05-05T15:54:00.000+05:00,2023-05-07
215,2024,application,16904,73,,Seed,0.0,0.0,,19,2023-09-03T08:58:00.000+05:00,2023-09-04
215,2024,application,16904,121,,Seed,0.0,0.0,,19,2023-09-03T08:58:00.000+05:00,2023-09-04
215,2024,application,16904,122,,Seed,0.0,0.0,,19,2023-09-03T08:58:00.000+05:00,2023-09-04
215,2024,application,16904,123,,Seed,250.126582278481,0.0,,22,2023-09-03T08:58:00.000+05:00,2023-09-04
215,2024,application,16904,81,,Seed,0.0,0.0,,19,2023-09-03T08:58:00.000+05:00,2023-09-04
215,2024,application,16904,124,,Seed,0.0,0.0,,22,2023-09-03T08:58:00.000+05:00,2023-09-04
215,2025,application,32821,39,,Seed,0.4,0.4,,34,2025-05-04T09:17:00.000+05:00,2025-05-04
216,2021,application,4269,39,,Seed,0.41944444444444445,0.42310000000000003,,34,2021-05-03T23:08:00.000+05:00,2021-05-04
216,2021,application,4269,28,,Seed,0.0,0.42310000000000003,,34,2021-05-03T23:08:00.000+05:00,2021-05-04
216,2021,application,4269,26,,Seed,0.0,0.42310000000000003,,34,2021-05-03T23:08:00.000+05:00,2021-05-04
216,2022,application,8063,37,,Seed,0.0,220.0,,19,2022-05-10T13:13:00.000+05:00,2022-05-11
216,2022,application,8063,49,,Seed,0.0,0.0,,19,2022-05-10T13:13:00.000+05:00,2022-05-11
216,2022,application,8063,51,,Seed,0.0,0.0,,19,2022-05-10T13:13:00.000+05:00,2022-05-11
216,2022,application,8063,50,,Seed,0.0,0.0,,19,2022-05-10T13:13:00.000+05:00,2022-05-11
216,2023,application,11801,62,,Seed,203.0,195.0,,19,2023-05-06T12:59:00.000+05:00,2023-05-07
216,2023,application,11801,94,,Seed,0.0,0.0,,19,2023-05-06T12:59:00.000+05:00,2023-05-07
216,2024,application,16905,73,,Seed,0.0,0.0,,19,2023-09-04T22:19:00.000+05:00,2023-09-05
216,2024,application,16905,121,,Seed,0.0,0.0,,19,2023-09-04T22:19:00.000+05:00,2023-09-05
216,2024,application,16905,122,,Seed,0.0,0.0,,19,2023-09-04T22:19:00.000+05:00,2023-09-05
216,2024,application,16905,123,,Seed,0.0,0.0,,22,2023-09-04T22:19:00.000+05:00,2023-09-05
216,2024,application,16905,81,,Seed,0.0,0.0,,19,2023-09-04T22:19:00.000+05:00,2023-09-05
216,2024,application,16905,124,,Seed,265.4054054054054,0.0,,22,2023-09-04T22:19:00.000+05:00,2023-09-05
216,2025,application,32822,39,,Seed,0.4,0.4,,34,2025-05-04T20:38:00.000+05:00,2025-05-05
217,2021,application,4270,39,,Seed,0.42142857142857143,0.4231,,34,2021-05-05T18:11:00.000+05:00,2021-05-06
217,2021,application,4270,28,,Seed,0.0,0.4231,,34,2021-05-05T18:11:00.000+05:00,2021-05-06
217,2021,application,4270,26,,Seed,0.0,0.4231,,34,2021-05-05T18:11:00.000+05:00,2021-05-06
217,2022,application,8064,37,,Seed,221.37254901960785,220.0,,19,2022-05-14T23:05:00.000+05:00,2022-05-17
217,2022,application,8064,49,,Seed,0.0,0.0,,19,2022-05-14T23:05:00.000+05:00,2022-05-17
217,2022,application,8064,51,,Seed,0.0,0.0,,19,2022-05-14T23:05:00.000+05:00,2022-05-17
217,2022,application,8064,50,,Seed,0.0,0.0,,19,2022-05-14T23:05:00.000+05:00,2022-05-17
217,2023,application,11802,62,,Seed,66.91911764705883,195.0,,19,2023-05-13T08:28:00.000+05:00,2023-05-18
217,2023,application,11802,94,,Seed,0.0,0.0,,19,2023-05-13T08:28:00.000+05:00,2023-05-18
217,2024,application,27301,83,,Seed,0.0,0.3092627599264706,,32,2024-05-08T23:35:00.000+05:00,2024-05-10
217,2024,application,27301,109,,Seed,0.0,0.01928166350490196,,32,2024-05-08T23:35:00.000+05:00,2024-05-10
217,2024,application,27301,161,,Seed,0.0,0.03780718335784314,,34,2024-05-08T23:35:00.000+05:00,2024-05-10
217,2024,application,27301,162,,Seed,0.0,0.02684310019607843,,34,2024-05-08T23:35:00.000+05:00,2024-05-10
217,2025,application,33142,200,,Seed,205.0,205.0,,19,2025-05-18T01:22:00.000+05:00,2025-05-20
218,2021,application,4271,39,,Seed,0.0,0.4231,,34,2021-05-05T05:17:00.000+05:00,2021-05-05
218,2021,application,4271,28,,Seed,0.0,0.4231,,34,2021-05-05T05:17:00.000+05:00,2021-05-05
218,2021,application,4271,26,,Seed,0.42,0.4231,,34,2021-05-05T05:17:00.000+05:00,2021-05-05
218,2022,application,8065,37,,Seed,0.0,220.0,,19,2022-05-18T20:49:00.000+05:00,2022-05-19
218,2022,application,8065,49,,Seed,226.8,0.0,,19,2022-05-18T20:49:00.000+05:00,2022-05-19
218,2022,application,8065,51,,Seed,0.0,0.0,,19,2022-05-18T20:49:00.000+05:00,2022-05-19
