field_id,year,y_true,y_model_oof,field_name_fields,y_cropwise_pred,field_name_cropwise
224,2020,17.282,18.02473377081057,холодный ключ,17.282,холодный ключ
224,2021,24.671,26.544808781062496,холодный ключ,24.671,холодный ключ
224,2022,33.052,28.570815202192136,холодный ключ,33.052,холодный ключ
224,2023,22.415,29.688375242768878,холодный ключ,22.415,холодный ключ
224,2024,49.363,32.96978967377547,холодный ключ,49.363,холодный ключ
224,2025,29.077,26.14425509168754,холодный ключ,29.077,холодный ключ
225,2017,20.693,29.65176502017305,холодный ключ (сенокос) 05-080-025-120,,
225,2019,19.401,26.931137097166683,холодный ключ (сенокос) 05-080-025-120,19.401,холодный ключ (сенокос) 05-080-025-120
225,2020,35.471,27.63662425432941,холодный ключ (сенокос) 05-080-025-120,35.471,холодный ключ (сенокос) 05-080-025-120
225,2021,21.724,23.67889786697749,холодный ключ (сенокос) 05-080-025-120,21.724,холодный ключ (сенокос) 05-080-025-120
225,2022,45.8,33.687691061170646,холодный ключ (сенокос) 05-080-025-120,45.8,холодный ключ (сенокос) 05-080-025-120
226,2010,20.662,18.51161021135245,штаны,,
226,2011,25.954,24.24113441485427,штаны,,
226,2012,13.478,20.09177942274357,штаны,,
226,2013,18.177,24.186935687455264,штаны,,
226,2014,22.283,26.247242782589147,штаны,,
226,2015,18.338,24.917556266528305,штаны,,
226,2016,27.698,20.80341781557668,штаны,,
226,2017,26.29,23.659611344444944,штаны,,
226,2018,20.143,24.474655909984342,штаны,20.143,штаны
226,2019,23.403,24.81290724821144,штаны,23.403,штаны
226,2020,15.046,16.382537539532784,штаны,15.046,штаны
226,2021,27.516,25.87707046011554,штаны,27.516,штаны
226,2022,29.26,28.315067136501483,штаны,29.26,штаны
226,2023,21.623,27.1164100522959,штаны,21.623,штаны
226,2024,45.445,30.473770210125668,штаны,45.445,штаны
226,2025,32.845,25.671702269742607,штаны,32.845,штаны
227,2010,27.361,21.018860166343547,большая семениха ск,,
227,2011,17.692,21.78104631817262,большая семениха ск,,
227,2012,16.476,17.283761410920814,большая семениха ск,,
227,2013,20.165,22.60378125556374,большая семениха ск,,
227,2014,24.01,20.744274010146977,большая семениха ск,,
227,2015,16.342,21.14111280432233,большая семениха ск,,
227,2016,18.933,18.89897471812332,большая семениха ск,,
227,2017,17.968,24.45576116013585,большая семениха ск,,
227,2018,24.438,25.065497244869388,большая семениха ск,24.438,большая семениха ск
227,2019,19.179,16.12245177165729,большая семениха ск,19.179,большая семениха ск
227,2020,22.098,18.049077801763637,большая семениха ск,22.098,большая семениха ск
227,2021,35.711,37.40853734580355,большая семениха ск,35.711,большая семениха ск
227,2022,32.383,27.38087984850256,большая семениха ск,32.383,большая семениха ск
227,2023,25.029,25.47478642689679,большая семениха ск,25.029,большая семениха ск
227,2024,35.776,33.52075087070869,большая семениха ск,35.776,большая семениха ск
227,2025,28.22,21.10369015580895,большая семениха ск,28.22,большая семениха ск
228,2010,23.478,18.73074762363057,бонн 1,,
228,2011,18.424,23.476763475357945,бонн 1,,
228,2012,11.162,16.966989789405893,бонн 1,,
228,2013,24.112,28.983830449399385,бонн 1,,
228,2014,30.21,28.5566975225143,бонн 1,,
228,2015,16.277,18.628470476481954,бонн 1,,
228,2016,15.54,23.904964822515502,бонн 1,,
228,2017,30.466,28.13399702629335,бонн 1,,
228,2018,64.855,17.193865589813814,бонн 1,64.855,бонн 1
228,2019,22.165,26.49312621721867,бонн 1,22.165,бонн 1
228,2020,20.305,22.014372601475923,бонн 1,20.305,бонн 1
228,2021,37.058,37.89794247507024,бонн 1,37.058,бонн 1
228,2022,32.991,29.44572325607237,бонн 1,32.991,бонн 1
228,2023,22.995,23.68434589161612,бонн 1,22.995,бонн 1
228,2024,26.042,32.344005147918075,бонн 1,26.042,бонн 1
228,2025,35.23,36.63973814758783,бонн 1,35.23,бонн 1
229,2010,14.924,13.577125059573472,бонн 2,,
229,2011,16.809,15.08508759192293,бонн 2,,
229,2012,9.024,14.504296975102015,бонн 2,,
229,2013,18.671,26.042290044696948,бонн 2,,
229,2014,18.888,21.0048952554316,бонн 2,,
229,2015,16.917,13.319559652999478,бонн 2,,
229,2016,15.335,16.99747932841504,бонн 2,,
229,2017,23.881,24.65339495466948,бонн 2,,
229,2018,28.837,16.62698355063146,бонн 2,28.837,бонн 2
229,2019,16.983,22.334809633638667,бонн 2,16.983,бонн 2
229,2020,22.21,20.079878756551143,бонн 2,22.21,бонн 2
229,2021,24.469,23.976204853622505,бонн 2,24.469,бонн 2
229,2022,26.656,20.67602204265521,бонн 2,26.656,бонн 2
229,2023,20.76,22.423622530210444,бонн 2,20.76,бонн 2
229,2024,20.838,24.52261540407986,бонн 2,20.838,бонн 2
229,2025,31.488,32.177132222492034,бонн 2,31.488,бонн 2
230,2010,25.814,22.77999210864134,бригадная стрелка,,
230,2011,17.643,24.46169304155647,бригадная стрелка,,
230,2012,22.159,26.07060912677828,бригадная стрелка,,
230,2013,28.546,22.93289912686292,бригадная стрелка,,
230,2014,20.745,24.671628503043944,бригадная стрелка,,
230,2015,20.985,21.46956255100185,бригадная стрелка,,
230,2016,21.473,17.845635302102153,бригадная стрелка,,
230,2017,28.902,31.580150087064755,бригадная стрелка,,
230,2018,16.839,21.04867090977357,бригадная стрелка,16.839,бригадная стрелка
230,2019,39.929,30.81465876166132,бригадная стрелка,39.929,бригадная стрелка
230,2020,12.317,16.300220035411282,бригадная стрелка,12.317,бригадная стрелка
230,2021,31.34,33.27322070968057,бригадная стрелка,31.34,бригадная стрелка
230,2022,31.92,23.638379838414167,бригадная стрелка,31.92,бригадная стрелка
230,2023,15.378,14.956771329173828,бригадная стрелка,15.378,бригадная стрелка
230,2024,31.278,28.179762817622628,бригадная стрелка,31.278,бригадная стрелка
