field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,y_model_oof
231,2021,34.016,31.704,34.016,34.016,31.848905719742923
231,2022,22.88,21.225,22.88,22.88,23.11663338804489
231,2023,22.106,15.364,17.592,22.117,19.06883797994845
231,2024,36.423,38.621,43.306,36.36,34.71730416617642
231,2025,24.7,26.262,25.528,24.9,22.271261088211396
232,2010,20.457,21.307,22.87,21.726,21.77344996061729
232,2011,17.736,23.498,17.906,18.203,18.930521681637195
232,2012,23.602,32.91,31.881,21.698,26.02400614788694
232,2013,23.915,26.923,30.481,21.51,23.424861939143405
232,2014,24.254,26.052,28.641,23.182,24.90373085570705
232,2015,13.354,28.848,18.898,14.765,18.4156066288979
232,2016,22.876,25.18,26.576,24.058,23.18703350859145
232,2017,27.603,28.916,27.603,27.603,29.375762829567645
232,2018,12.02,18.109,12.671,11.918,18.996341702846934
232,2019,41.161,36.744,41.161,41.161,28.05459552367535
232,2020,18.421,19.402,18.421,18.421,13.0231740793383
232,2021,29.818,33.894,29.818,29.818,34.181105973123486
232,2022,18.508,22.283,18.508,18.508,19.336454056457796
232,2023,23.085,18.707,20.155,23.653,22.15908948996985
232,2024,41.416,38.087,45.228,38.371,33.11411167686608
232,2025,24.7,24.81,24.2,24.7,21.21692946654513
233,2010,29.024,22.584,28.725,25.347,21.043635736354084
233,2011,21.271,24.954,25.182,20.831,22.554294913405347
233,2012,19.567,25.513,23.485,18.978,20.879103378306965
233,2013,15.523,16.949,23.955,15.779,20.478063764456696
233,2014,24.834,26.403,25.37,25.182,31.135444283015858
233,2015,22.576,22.152,22.015,22.306,22.27422911548195
233,2016,22.677,23.313,24.031,25.436,18.996014768497183
233,2017,20.928,18.445,18.953,18.957,22.04173041770126
233,2018,19.316,21.461,16.96,20.964,24.76867161905725
233,2019,25.64,26.827,23.462,23.735,24.562597359639906
233,2020,17.5,17.529,17.5,17.5,20.540948258023302
233,2021,34.056,32.509,34.056,34.056,32.01328478393326
233,2022,44.169231,,,,26.548580165462106
234,2010,30.815,18.597,28.248,28.089,23.88529552093721
234,2011,25.765,22.497,30.991,24.427,21.94163952156812
234,2012,17.617,22.334,22.116,14.007,23.409134646026853
234,2013,21.286,26.878,22.861,22.328,27.15690441208149
234,2014,22.455,18.393,18.478,25.792,19.403171321355536
234,2015,23.784,26.636,21.191,21.96,21.593424067756107
234,2016,27.932,23.187,28.786,22.903,24.98277078924007
234,2017,27.084,25.818,22.395,25.051,25.126484644212592
234,2018,21.424,30.617,20.708,22.307,24.5364798840097
234,2019,6.081,8.507,8.767,6.081,20.4263754846204
234,2021,38.293,27.121,38.293,38.293,34.266775739750905
234,2022,35.318,35.385,35.832,35.318,29.034218851648447
234,2023,24.153,25.372,24.153,24.153,27.03105373940674
234,2024,26.562,22.541,27.715,26.495,27.944231781495837
234,2025,44.593,40.216,44.593,44.593,36.91752932767076
