Поле,Регион,year,Культура,урожайность факт ц/га,урожайность прогноз ц/га,active,field_name_norm,field_id,name,lat,long,tillable_area,prod_fact_t_ha,prod_forecast_t_ha,standard_name,target_yield_t_ha,target_source,diff_prod_fact_minus_target,abs_diff
Соколки 2,ВКО,2022,Пшеница яровая,32.311429,28.408,True,соколки 2,223,Соколки 2,50.43672170185941,82.32653521086154,70.0,3.2311428999999996,2.8408,wheat_spring,3.2311428571428573,physical_harvested_weight,4.285714227947324e-08,4.285714227947324e-08
Давыдкин увал левый,ВКО,2022,Пшеница озимая,15.71234,22.88,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,1.571234,2.288,wheat_winter,1.5712340425531914,physical_harvested_weight,-4.2553191414995695e-08,4.2553191414995695e-08
Лоскутиха,ВКО,2022,Пшеница яровая,28.589873,27.345,True,лоскутиха,215,Лоскутиха,50.481633621513765,82.55476060472243,79.0,2.8589873,2.7344999999999997,wheat_spring,2.858987341772152,physical_harvested_weight,-4.177215195966255e-08,4.177215195966255e-08
Костенькина стрелка,ВКО,2022,Пшеница яровая,31.773529,30.777,True,костенькина стрелка,212,Костенькина стрелка,50.42075375796417,82.34016151551197,136.0,3.1773529,3.0777,wheat_spring,3.1773529411764705,physical_harvested_weight,-4.117647067758412e-08,4.117647067758412e-08
Лоскутиха,ВКО,2024,Пшеница озимая,44.767089,42.056,True,лоскутиха,215,Лоскутиха,50.481633621513765,82.55476060472243,79.0,4.4767089,4.2056,wheat_winter,4.476708860759494,physical_harvested_weight,3.924050595571771e-08,3.924050595571771e-08
Подхозный увал 1,ВКО,2025,Ячмень яровой,35.280952,38.607,True,подхозный увал 1,219,Подхозный увал 1,50.39251145179276,82.37944868952283,210.0,3.5280952,3.8607,barley_spring,3.528095238095238,physical_harvested_weight,-3.8095238075186444e-08,3.8095238075186444e-08
Давыдкин увал правый,ВКО,2022,Пшеница озимая,18.478378,18.508,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,1.8478378,1.8508,wheat_winter,1.847837837837838,physical_harvested_weight,-3.7837837973953015e-08,3.7837837973953015e-08
Никитушкин,ВКО,2024,Пшеница озимая,53.421622,53.586,True,никитушкин,216,Никитушкин,50.46224047423968,82.54079808685997,37.0,5.3421622,5.3586,wheat_winter,5.342162162162162,physical_harvested_weight,3.783783775190841e-08,3.783783775190841e-08
Бонн 1,ВКО,2022,Пшеница яровая,45.647458,32.991,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,4.5647458,3.2991,wheat_spring,4.564745762711865,physical_harvested_weight,3.7288135246171805e-08,3.7288135246171805e-08
Соколки 1,ВКО,2024,Пшеница яровая,36.562581,42.83,True,соколки 1,222,Соколки 1,50.43115826493252,82.3109971881627,62.0,3.6562581,4.2829999999999995,wheat_spring,3.6562580645161287,physical_harvested_weight,3.548387139673537e-08,3.548387139673537e-08
Соколки 1,ВКО,2025,Подсолнечник,29.722581,29.642,True,соколки 1,222,Соколки 1,50.43115826493252,82.3109971881627,62.0,2.9722581000000003,2.9642,sunflower,2.972258064516129,physical_harvested_weight,3.548387139673537e-08,3.548387139673537e-08
Коновалиха 1,ВКО,2024,Подсолнечник,27.365854,33.274,True,коновалиха 1,195,Коновалиха 1,50.42198096600295,82.4644614849937,123.0,2.7365854,3.3274,sunflower,2.7365853658536587,physical_harvested_weight,3.4146341310048456e-08,3.4146341310048456e-08
Бонн 2,ВКО,2023,Пшеница озимая,34.433333,20.76,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,3.4433333,2.076,wheat_winter,3.443333333333334,physical_harvested_weight,-3.333333387089965e-08,3.333333387089965e-08
Бонн 2,ВКО,2024,Подсолнечник,32.544167,20.838,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,3.2544167,2.0838,sunflower,3.2544166666666663,physical_harvested_weight,3.333333387089965e-08,3.333333387089965e-08
Бонн 2,ВКО,2022,Пшеница яровая,28.416667,26.656,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,2.8416667,2.6656,wheat_spring,2.841666666666667,physical_harvested_weight,3.333333342681044e-08,3.333333342681044e-08
Давыдкин увал левый,ВКО,2025,Горох,13.324255,24.7,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,1.3324255,2.4699999999999998,pea,1.3324255319148937,physical_harvested_weight,-3.191489361675792e-08,3.191489361675792e-08
Большая Семёниха СК,ВКО,2025,Горох,15.521965,28.22,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,1.5521965,2.822,pea,1.5521965317919073,physical_harvested_weight,-3.179190732893744e-08,3.179190732893744e-08
Козлов ув.пр(низ) 05-080-025-208,ВКО,2021,Подсолнечник,21.389247,29.907,True,козлов ув пр низ 05 080 025 208,211,Козлов ув.пр(низ) 05-080-025-208,50.4147461642427,82.40217837488487,93.0,2.1389247,2.9907,sunflower,2.1389247311827955,physical_harvested_weight,-3.1182795456885515e-08,3.1182795456885515e-08
