field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source,spread_t_ha,sources_used
230,2020,oil_seed_raps_winter,,1.68,,1.68,,,,12.317,1.2317,Рапс озимый,0.16799999999999998,1.2317,,,oil_seed_raps_winter,1.68,productivity_normalized,1.512,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
215,2017,oil_seed_raps_spring,,3.08,,3.08,,,,15.818,1.5817999999999999,,,,,,oil_seed_raps_spring,3.08,productivity_normalized,1.4982000000000002,productivity_t_ha;estimate_t_ha_max;factual_target_t_ha
195,2021,barley_spring,2.022276422764228,2.0222764,2.022276422764228,20.222764,,,,35.18,3.518,Ячмень яровой,2.0222764,3.518,,,barley_spring,2.022276422764228,physical_harvested_weight,1.4957235999999998,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
214,2025,barley_spring,1.53,1.53,1.53,15.3,,,,30.119,3.0119,Ячмень яровой,1.53,3.0119,,,barley_spring,1.53,physical_harvested_weight,1.4818999999999998,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
218,2025,wheat_spring,4.112820512820513,4.1128205,4.112820512820513,41.128205,,,,26.461,2.6460999999999997,Пшеница яровая,4.1128205,2.6460999999999997,,,wheat_spring,4.112820512820513,physical_harvested_weight,1.4667205128205136,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
212,2024,sunflower,1.9008823529411762,1.9008824,1.9008823529411762,19.008824,,,,31.718,3.1718,Подсолнечник,1.9008824,3.1718,1.73,2.0,sunflower,1.900882352941176,physical_harvested_weight,1.4418000000000002,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
210,2021,sunflower,1.4783400809716598,2.4023026,1.4783400809716598,24.023026,,,,29.186,2.9186,Подсолнечник,2.4023026,2.9186,,,sunflower,1.4783400809716598,physical_harvested_weight,1.4402599190283403,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
227,2022,wheat_winter,2.217514450867052,2.2175145,2.217514450867052,22.175145,,,,32.383,3.2383,Пшеница озимая,2.2175145,3.2383,1.8283035714285711,1.0,wheat_winter,2.217514450867052,physical_harvested_weight,1.409996428571429,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
225,2017,oil_seed_raps_spring,,0.6639999999999999,,6.64,,,,20.693,2.0693,,,,,,oil_seed_raps_spring,0.6639999999999999,productivity_normalized,1.4053000000000002,productivity_t_ha;estimate_t_ha_max;factual_target_t_ha
213,2022,sunflower,1.4814285714285713,1.4814285999999999,1.4814285714285713,14.814286,,,,23.059,2.3059000000000003,Подсолнечник,1.4814285999999999,2.3059000000000003,0.9052631578947368,1.0,sunflower,1.481428571428571,physical_harvested_weight,1.4006368421052635,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
