field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source
212,2010,sunflower,,,,,,,,25.729,2.5728999999999997,,,,,,,,
212,2011,sunflower,,,,,,,,21.887,2.1887,,,,,,,,
212,2012,sunflower,,,,,,,,24.481,2.4481,,,,,,,,
212,2013,sunflower,,,,,,,,21.99,2.199,,,,,,,,
212,2014,sunflower,,,,,,,,24.5,2.45,,,,,,,,
212,2015,sunflower,,,,,,,,16.854,1.6854,,,,,,,,
212,2016,sunflower,,,,,,,,27.669,2.7669,,,,,,,,
212,2017,sunflower,,,,,,,,16.862,1.6862,,,,,,,,
212,2018,sunflower,,,,,,,,13.272,1.3272,Подсолнечник,,1.3272,,,,,
212,2019,sunflower,,,,,,,,24.78,2.478,Подсолнечник,,2.478,,,,,
212,2020,wheat_spring,,,,,,,,13.132,1.3132,Пшеница яровая,,1.3132,,,,,
212,2021,sunflower,3.3983823529411765,3.6392125999999996,3.3983823529411765,36.392126,,,,32.197,3.2197000000000005,Подсолнечник,3.6392125999999996,3.2197000000000005,,,sunflower,3.3983823529411765,physical_harvested_weight
212,2022,wheat_spring,3.1773529411764705,3.1773529,3.1773529411764705,31.773529,,,,30.777,3.0777,Пшеница яровая,3.1773529,3.0777,3.145085714285714,1.0,wheat_spring,3.1773529411764705,physical_harvested_weight
212,2023,wheat_spring,2.9445588235294116,2.9445588000000003,2.9445588235294116,29.445588,,,,16.78,1.6780000000000002,Пшеница яровая,2.9445588000000003,1.6780000000000002,,,wheat_spring,2.9445588235294116,physical_harvested_weight
212,2024,sunflower,1.9008823529411762,1.9008824,1.9008823529411762,19.008824,,,,31.718,3.1718,Подсолнечник,1.9008824,3.1718,1.73,2.0,sunflower,1.900882352941176,physical_harvested_weight
212,2025,wheat_spring,1.7024264705882353,1.7024265,1.7024264705882353,17.024265,,,,28.967,2.8967,Пшеница яровая,1.7024265,2.8967,,,wheat_spring,1.7024264705882353,physical_harvested_weight
212,2026,sunflower,,,,,,,,,,,,,,,,,
212,2027,wheat_spring,,,,,,,,,,,,,,,,,
212,2028,,,,,,,,,,,,,,,,,,
212,2029,,,,,,,,,,,,,,,,,,
212,2030,,,,,,,,,,,,,,,,,,
213,2000,sunflower,,,,,,,,,,,,,,,,,
213,2001,sunflower,,,,,,,,,,,,,,,,,
213,2002,sunflower,,,,,,,,,,,,,,,,,
213,2003,sunflower,,,,,,,,,,,,,,,,,
213,2004,sunflower,,,,,,,,,,,,,,,,,
213,2005,sunflower,,,,,,,,,,,,,,,,,
213,2006,sunflower,,,,,,,,,,,,,,,,,
213,2007,sunflower,,,,,,,,,,,,,,,,,
213,2008,sunflower,,,,,,,,,,,,,,,,,
213,2009,sunflower,,,,,,,,,,,,,,,,,
213,2010,sunflower,,,,,,,,21.619,2.1619,,,,,,,,
213,2011,sunflower,,,,,,,,19.84,1.984,,,,,,,,
213,2012,sunflower,,,,,,,,16.418,1.6418,,,,,,,,
213,2013,sunflower,,,,,,,,20.484,2.0484,,,,,,,,
213,2014,sunflower,,,,,,,,24.244,2.4244,,,,,,,,
213,2015,sunflower,,,,,,,,21.305,2.1305,,,,,,,,
213,2016,sunflower,,,,,,,,24.174,2.4173999999999998,,,,,,,,
213,2017,sunflower,,,,,,,,24.459,2.4459,,,,,,,,
213,2018,sunflower,,,,,,,,26.765,2.6765,Подсолнечник,,2.6765,,,,,
213,2019,oil_seed_raps_spring,,,,,,,,19.759,1.9759,Рапс яровой,,1.9759,,,,,
213,2020,wheat_spring,,5.78,,5.78,,,,15.964,1.5964,Пшеница яровая,0.5780000000000001,1.5964,,,wheat_spring,5.78,productivity_normalized
213,2021,wheat_spring,1.3155714285714286,1.3155714,1.3155714285714286,13.155714,,,,33.956,3.3956000000000004,Пшеница яровая,1.3155714,3.3956000000000004,1.0774947589098534,1.0,wheat_spring,1.3155714285714286,physical_harvested_weight
213,2022,sunflower,1.4814285714285713,1.4814285999999999,1.4814285714285713,14.814286,,,,23.059,2.3059000000000003,Подсолнечник,1.4814285999999999,2.3059000000000003,0.9052631578947368,1.0,sunflower,1.481428571428571,physical_harvested_weight
213,2023,wheat_spring,,,,,,,,16.769,1.6768999999999998,Пшеница яровая,,1.6768999999999998,,,,,
213,2024,fallow,,,,,,,,,,Пар,,,,,,,
213,2025,barley_spring,1.53,1.53,1.53,15.3,,,,30.796,3.0796,Ячмень яровой,1.53,3.0796,,,barley_spring,1.53,physical_harvested_weight
213,2026,,,,,,,,,,,,,,,,,,
213,2027,,,,,,,,,,,,,,,,,,
213,2028,,,,,,,,,,,,,,,,,,
213,2029,,,,,,,,,,,,,,,,,,
213,2030,,,,,,,,,,,,,,,,,,
214,2000,sunflower,,,,,,,,,,,,,,,,,
